Delta_1,Delta_2,m1,m2,e_vumps,dqpt,times
0.1,0.1,0.1,0.0,-0.298242001674,0,[]
0.1,0.1,0.2,0.0,-0.287462435029,0,[]
0.1,0.1,0.3,0.0,-0.274191695161,0,[]
0.1,0.1,0.4,0.0,-0.259839020303,0,[]
0.1,0.1,0.5,0.0,-0.245274167185,0,[]
0.1,0.1,0.0,0.1,-0.303826173771,0,[]
0.1,0.1,0.0,0.3,-0.304098007041,0,[]
0.1,0.1,0.0,0.4,-0.304233923675,1,"[9.41,9.67]"
-0.1,-0.1,0.0,0.5,-0.333147387391,1,[3.53]
-0.1,0.5,0.5,0.5,-0.376616934777,0,[]
-0.1,-0.9,0.1,0.1,-0.454510564122,0,[]
-0.1,0.9,0.1,0.1,-0.194813485127,0,[]
0.1,-0.9,0.1,0.1,-0.443642152587,0,[]
0.1,0.9,0.1,0.1,-0.205707120109,0,[]
-0.1,-0.9,0.2,0.1,-0.438927874034,0,[]
-0.1,0.9,0.2,0.1,-0.206708529873,0,[]
0.1,-0.9,0.2,0.1,-0.424295577931,0,[]
0.1,0.9,0.2,0.1,-0.214978726875,0,[]
-0.1,-0.9,0.3,0.1,-0.418068616931,0,[]
-0.1,0.9,0.3,0.1,-0.214365808255,0,[]
0.1,-0.9,0.3,0.1,-0.400928049617,0,[]
0.1,0.9,0.3,0.1,-0.219429708866,0,[]
-0.1,-0.9,0.4,0.1,-0.395164243256,0,[]
-0.1,0.9,0.4,0.1,-0.218188652994,0,[]
0.1,-0.9,0.4,0.1,-0.376804326671,0,[]
0.1,0.9,0.4,0.1,-0.220318865208,0,[]
-0.1,-0.9,0.5,0.1,-0.371990994907,0,[]
-0.1,0.9,0.5,0.1,-0.218914674526,0,[]
0.1,-0.9,0.5,0.1,-0.353419584949,0,[]
0.1,0.9,0.5,0.1,-0.218660791858,0,[]
0.1,-0.9,0.65,0.1,-0.321161894747,0,[]
-0.1,-0.9,0.6,0.1,-0.349571868884,0,[]
-0.1,0.9,0.6,0.1,-0.217310624858,0,[]
0.1,-0.9,0.6,0.1,-0.331483640087,0,[]
0.1,0.9,0.6,0.1,-0.215262432872,0,[]
-0.1,-0.9,0.7,0.1,-0.328469016668,0,[]
-0.1,0.9,0.7,0.1,-0.214056377532,0,[]
0.1,-0.9,0.7,0.1,-0.311292524737,1,"[7.78,8.23,8.30]"
0.1,0.9,0.7,0.1,-0.210742166091,0,[]
-0.1,-0.9,0.8,0.1,-0.308949888049,1,"[7.74,8.21,8.38]"
-0.1,0.9,0.8,0.1,-0.20970593823,0,[]
0.1,-0.9,0.8,0.1,-0.292913799856,1,"[4.71,5.57,7.68,8.30,8.54]"
0.1,0.9,0.8,0.1,-0.205557053691,0,[]
-0.1,-0.9,0.9,0.1,-0.291095968495,1,"[4.67,5.60,8.28,8.51]"
-0.1,0.9,0.9,0.1,-0.204685696444,0,[]
0.1,-0.9,0.9,0.1,-0.276290934684,1,"[4.58,5.77,8.33,8.41,8.69]"
0.1,0.9,0.9,0.1,-0.200034040357,0,[]
-0.1,0.9,0.0,0.1,-0.179530311853,1,[4.58]
-0.1,-0.9,1.1,0.1,-0.260198722398,1,"[4.57,5.90,7.67,8.34,8.42,8.56,8.75,8.83]"
-0.1,0.9,1.1,0.1,-0.193801228074,0,[]
0.1,-0.9,1.1,0.1,-0.247809070074,1,"[4.61,5.98,7.71,8.32,8.48,8.77,8.92]"
0.1,0.9,1.1,0.1,-0.188806968113,0,[]
-0.1,-0.9,1.2,0.1,-0.246938569787,1,"[4.62,5.98,8.29,8.59,8.71,8.79,8.92]"
-0.1,0.9,1.2,0.1,-0.188312933944,0,[]
0.1,-0.9,1.2,0.1,-0.235652277202,1,"[4.72,6.05,7.76,8.24,8.63,8.81,9.01]"
0.1,0.9,1.2,0.1,-0.183353848334,0,[]
-0.1,-0.9,1.3,0.1,-0.234962026902,1,"[4.74,6.05,7.77,8.18,8.72,8.82,8.99]"
-0.1,0.9,1.3,0.1,-0.182945806974,0,[]
0.1,-0.9,1.3,0.1,-0.224687724891,1,"[4.87,6.10,7.83,8.09,8.82,8.88,9.04,9.12]"
0.1,0.9,1.3,0.1,-0.178101135178,0,[]
-0.1,-0.9,1.4,0.1,-0.224136135123,1,"[4.88,6.10,7.84,8.11,8.84,8.89,9.03,9.14]"
-0.1,0.9,1.4,0.1,-0.177763273379,0,[]
0.1,-0.9,1.4,0.1,-0.214779784943,1,"[5.03,6.14,8.88,9.03,9.14]"
0.1,0.9,1.4,0.1,-0.173083106635,0,[]
-0.1,-0.9,1.5,0.1,-0.21433551514,1,"[5.04,6.15,8.88,8.92,9.06,9.13]"
-0.1,0.9,1.5,0.1,-0.172802356604,0,[]
0.1,-0.9,1.5,0.1,-0.205806045113,1,"[5.17,6.18,8.93,8.99,9.30]"
0.1,0.9,1.5,0.1,-0.168316138398,0,[]
-0.1,-0.9,1.0,0.1,-0.274876642133,1,"[4.57,5.78,7.66,8.31,8.55,8.67]"
-0.1,0.9,1.0,0.1,-0.199309783217,0,[]
0.1,-0.9,1.0,0.1,-0.261304663328,1,"[4.56,5.89,7.68,8.34,8.58,8.74]"
0.1,0.9,1.0,0.1,-0.194399894302,0,[]
-0.2,-0.2,0.0,0.5,-0.348922808808,1,[4.02]
0.2,0.2,0.0,0.5,-0.288545002342,1,[6.84]
-0.2,0.5,0.5,0.5,-0.373002235926,0,[]
-0.2,-0.9,0.1,0.1,-0.459313336563,0,[]
-0.2,0.9,0.1,0.1,-0.188083324888,0,[]
0.2,-0.9,0.1,0.1,-0.43753004993,0,[]
0.2,0.9,0.1,0.1,-0.210074391037,0,[]
-0.2,-0.9,0.2,0.1,-0.445604052308,0,[]
-0.2,0.9,0.2,0.1,-0.201176277823,0,[]
0.2,-0.9,0.2,0.1,-0.416332300478,0,[]
0.2,0.9,0.2,0.1,-0.217933437017,0,[]
-0.2,-0.9,0.3,0.1,-0.426165061961,0,[]
-0.2,0.9,0.3,0.1,-0.210543412166,0,[]
0.2,-0.9,0.3,0.1,-0.391932365369,0,[]
0.2,0.9,0.3,0.1,-0.220868990736,0,[]
-0.2,-0.9,0.4,0.1,-0.404099239575,0,[]
-0.2,0.9,0.4,0.1,-0.216031819736,0,[]
0.2,-0.9,0.4,0.1,-0.367458300504,0,[]
0.2,0.9,0.4,0.1,-0.220467530054,0,[]
-0.2,-0.9,0.5,0.1,-0.381252445826,0,[]
-0.2,0.9,0.5,0.1,-0.218173979113,0,[]
0.2,-0.9,0.5,0.1,-0.344190634328,0,[]
0.2,0.9,0.5,0.1,-0.217818687693,0,[]
-0.2,-0.9,0.6,0.1,-0.35876872099,0,[]
-0.2,0.9,0.6,0.1,-0.217681104602,0,[]
0.2,-0.9,0.6,0.1,-0.322658151324,0,[]
0.2,0.9,0.6,0.1,-0.213713310224,0,[]
-0.2,-0.9,0.7,0.1,-0.337333342128,0,[]
-0.2,0.9,0.7,0.1,-0.21524602059,0,[]
0.2,0.9,0.7,0.1,-0.208722067867,0,[]
-0.2,-0.9,0.8,0.1,-0.31731827319,1,"[7.84,8.16]"
-0.2,0.9,0.8,0.1,-0.211464743952,0,[]
0.2,-0.9,0.8,0.1,-0.285270774647,1,"[4.63,5.67,8.35,8.40,8.60]"
0.2,0.9,0.8,0.1,-0.203248777747,0,[]
-0.2,-0.9,0.9,0.1,-0.298884451721,1,"[4.76,5.46,7.7,8.26,8.48]"
-0.2,0.9,0.9,0.1,-0.20681387755,0,[]
0.2,-0.9,0.9,0.1,-0.269283019548,1,"[4.56,5.84,7.67,8.33,8.38,8.48,8.71]"
0.2,0.9,0.9,0.1,-0.19757251066,0,[]
-0.2,0.9,0.0,0.1,-0.173879314699,1,[4.54]
-0.2,-0.9,1.1,0.1,-0.266777948333,1,"[4.56,5.85,7.67,8.32,8.57,8.70,8.75]"
-0.2,0.9,1.1,0.1,-0.19625281849,0,[]
0.2,-0.9,1.1,0.1,-0.241988533527,1,"[4.65,6.01,7.72,8.25,8.66,8.78,8.96]"
0.2,0.9,1.1,0.1,-0.186296816577,0,[]
-0.2,-0.9,1.2,0.1,-0.252945737539,1,"[4.59,5.95,7.7,8.27,8.61,8.68,8.76,8.89]"
-0.2,0.9,1.2,0.1,-0.190791778832,0,[]
0.2,-0.9,1.2,0.1,-0.230358821219,1,"[4.79,6.07,7.76,8.21,8.79,8.85,9.01]"
0.2,0.9,1.2,0.1,-0.180896175826,0,[]
-0.2,-0.9,1.3,0.1,-0.240437278489,1,"[4.68,6.02,7.74,8.23,8.66,8.78,8.80,8.99]"
-0.2,0.9,1.3,0.1,-0.185397928644,0,[]
0.2,-0.9,1.3,0.1,-0.219872329523,1,"[4.94,6.12,7.87,8.05,8.92,9.00,9.24]"
0.2,0.9,1.3,0.1,-0.175723732499,0,[]
-0.2,-0.9,1.4,0.1,-0.229124323401,1,"[4.81,6.08,7.80,8.14,8.80,8.87,9.02,9.07]"
-0.2,0.9,1.4,0.1,-0.180153064834,0,[]
0.2,-0.9,1.4,0.1,-0.210394726634,1,"[5.10,6.16,8.92,9.06,9.16]"
0.2,0.9,1.4,0.1,-0.170802456747,0,[]
-0.2,-0.9,1.5,0.1,-0.218882120284,1,"[4.96,6.13,8.87,8.90,9.07,9.14]"
0.2,-0.9,1.5,0.1,-0.201806644266,1,"[5.23,6.20,8.94,8.97,9.05,9.26]"
0.2,0.9,1.5,0.1,-0.166140879365,0,[]
-0.2,-0.9,1.0,0.1,-0.282056765564,1,"[4.60,5.70,7.67,8.29,8.31,8.39,8.63]"
-0.2,0.9,1.0,0.1,-0.201655319095,0,[]
0.2,-0.9,1.0,0.1,-0.254910039996,1,"[4.57,5.94,7.68,8.33,8.53,8.68,8.77,8.84]"
0.2,0.9,1.0,0.1,-0.191881060092,0,[]
-0.3,-0.3,0.0,0.5,-0.365213516705,1,[4.63]
0.3,0.3,0.0,0.5,-0.277369063965,1,[6.22]
-0.3,0.5,0.5,0.5,-0.368559015604,0,[]
-0.3,-0.9,0.1,0.1,-0.463714330746,0,[]
-0.3,0.9,0.1,0.1,-0.180287084132,0,[]
0.3,-0.9,0.1,0.1,-0.430932455052,0,[]
0.3,0.9,0.1,0.1,-0.213804336805,0,[]
-0.3,-0.9,0.2,0.1,-0.451873388739,0,[]
-0.3,0.9,0.2,0.1,-0.19446401351,0,[]
0.3,-0.9,0.2,0.1,-0.407953686268,0,[]
0.3,0.9,0.2,0.1,-0.220189420646,0,[]
-0.3,-0.9,0.3,0.1,-0.433940363613,0,[]
-0.3,0.9,0.3,0.1,-0.205646796456,0,[]
0.3,-0.9,0.3,0.1,-0.382707995905,0,[]
0.3,0.9,0.3,0.1,-0.221672817801,0,[]
-0.3,-0.9,0.4,0.1,-0.412840347802,0,[]
-0.3,0.9,0.4,0.1,-0.212977711124,0,[]
0.3,-0.9,0.4,0.1,-0.358067193976,0,[]
0.3,0.9,0.4,0.1,-0.220097582238,0,[]
-0.3,-0.9,0.5,0.1,-0.390455350889,0,[]
-0.3,0.9,0.5,0.1,-0.21672101717,0,[]
0.3,-0.9,0.5,0.1,-0.335056886095,0,[]
0.3,0.9,0.5,0.1,-0.216584784095,0,[]
-0.3,-0.9,0.6,0.1,-0.368026574651,0,[]
-0.3,0.9,0.6,0.1,-0.217509331234,0,[]
0.3,-0.9,0.6,0.1,-0.314019862848,1,"[7.84,8.17]"
0.3,0.9,0.6,0.1,-0.21188710374,0,[]
-0.3,-0.9,0.7,0.1,-0.346350168387,0,[]
-0.3,0.9,0.7,0.1,-0.216039692593,0,[]
0.3,-0.9,0.7,0.1,-0.294996780095,1,"[4.76,5.52,7.69,8.31,8.52]"
0.3,0.9,0.7,0.1,-0.206519104956,0,[]
-0.3,-0.9,0.8,0.1,-0.325900277047,0,[]
-0.3,0.9,0.8,0.1,-0.212947485659,0,[]
0.3,-0.9,0.8,0.1,-0.27788943976,1,"[4.59,5.76,7.66,8.35,8.41,8.68]"
0.3,0.9,0.8,0.1,-0.200830420977,0,[]
-0.3,-0.9,0.9,0.1,-0.306920960517,1,"[5.00,5.17,7.73,8.20,8.40]"
-0.3,0.9,0.9,0.1,-0.208760361208,0,[]
0.3,-0.9,0.9,0.1,-0.262540072352,1,"[4.55,5.89,7.66,8.36,8.59,8.75,8.82]"
0.3,0.9,0.9,0.1,-0.195054713827,0,[]
-0.3,0.9,0.0,0.1,-0.16733383278,1,[4.48]
-0.3,-0.9,1.1,0.1,-0.273618267351,1,"[4.57,5.79,7.67,8.34,8.52,8.68]"
-0.3,0.9,1.1,0.1,-0.198647219423,0,[]
0.3,-0.9,1.1,0.1,-0.236409110182,1,"[4.7,6.05,7.73,8.20,8.76,8.87,8.99,9.04]"
0.3,0.9,1.1,0.1,-0.183795346314,0,[]
-0.3,-0.9,1.2,0.1,-0.25920402719,1,"[4.57,5.90,8.33,8.62,8.75,8.85]"
-0.3,0.9,1.2,0.1,-0.193251227334,0,[]
0.3,-0.9,1.2,0.1,-0.225288066954,1,"[4.86,6.10,7.81,8.14,8.80,8.81,9.02,9.09]"
0.3,0.9,1.2,0.1,-0.178464883601,0,[]
-0.3,-0.9,1.3,0.1,-0.24614833036,1,"[4.63,5.99,7.71,8.29,8.57,8.79,8.96]"
-0.3,0.9,1.3,0.1,-0.187856926847,0,[]
0.3,-0.9,1.3,0.1,-0.215260237323,1,"[5.02,6.14,8.83,8.93,9.05,9.15]"
0.3,0.9,1.3,0.1,-0.173383990309,0,[]
-0.3,-0.9,1.4,0.1,-0.234330385397,1,"[4.75,6.05,7.79,8.17,8.73,8.78,8.84,9.01]"
-0.3,0.9,1.4,0.1,-0.182567406153,0,[]
0.3,-0.9,1.4,0.1,-0.20619388441,1,"[5.17,6.18,8.94,9.02,9.23]"
0.3,0.9,1.4,0.1,-0.168566177085,0,[]
-0.3,-0.9,1.5,0.1,-0.223627875572,1,"[4.89,6.10,7.95,8.00,8.82,8.89,9.05]"
-0.3,0.9,1.5,0.1,-0.177448552508,0,[]
0.3,-0.9,1.5,0.1,-0.197973405081,1,"[5.29,6.22,8.99,9.07,9.36]"
0.3,0.9,1.5,0.1,-0.164013502133,0,[]
-0.3,-0.9,1.0,0.1,-0.289498681733,1,"[4.64,5.61,7.68,8.29,8.32,8.59]"
-0.3,0.9,1.0,0.1,-0.20389085609,0,[]
0.3,-0.9,1.0,0.1,-0.248771775004,1,"[4.59,5.98,7.68,8.33,8.61,8.69,8.78,8.92]"
0.3,0.9,1.0,0.1,-0.189344369068,0,[]
-0.4,0.5,0.5,0.5,-0.363149564281,0,[]
-0.4,-0.9,0.1,0.1,-0.467708629776,0,[]
-0.4,0.9,0.1,0.1,-0.171193744997,1,[4.34]
0.4,-0.9,0.1,0.1,-0.423828473095,0,[]
0.4,0.9,0.1,0.1,-0.216930606261,0,[]
-0.4,-0.9,0.2,0.1,-0.457753304308,0,[]
-0.4,0.9,0.2,0.1,-0.186243303912,0,[]
0.4,-0.9,0.2,0.1,-0.399189547054,0,[]
0.4,0.9,0.2,0.1,-0.221791598819,0,[]
-0.4,-0.9,0.3,0.1,-0.441413045651,0,[]
-0.4,0.9,0.3,0.1,-0.199388092188,0,[]
0.4,-0.9,0.3,0.1,-0.373309037521,0,[]
0.4,0.9,0.3,0.1,-0.221898322025,0,[]
-0.4,-0.9,0.4,0.1,-0.421389611298,0,[]
-0.4,0.9,0.4,0.1,-0.208813938156,0,[]
0.4,-0.9,0.4,0.1,-0.348684414644,0,[]
0.4,0.9,0.4,0.1,-0.219269586618,0,[]
-0.4,-0.9,0.5,0.1,-0.399585727123,0,[]
-0.4,0.9,0.5,0.1,-0.214404794684,0,[]
0.4,-0.9,0.5,0.1,-0.326059587939,0,[]
0.4,0.9,0.5,0.1,-0.215015293724,0,[]
-0.4,-0.9,0.6,0.1,-0.377324041326,0,[]
-0.4,0.9,0.6,0.1,-0.216685994431,0,[]
0.4,0.9,0.6,0.1,-0.209831476201,0,[]
-0.4,-0.9,0.7,0.1,-0.355498842549,0,[]
-0.4,0.9,0.7,0.1,-0.216356161927,0,[]
0.4,0.9,0.7,0.1,-0.204171213592,0,[]
-0.4,-0.9,0.8,0.1,-0.334680585487,0,[]
-0.4,0.9,0.8,0.1,-0.214093013382,0,[]
0.4,-0.9,0.8,0.1,-0.270774760055,1,"[4.56,5.82,7.65,8.34,8.50,8.71]"
0.4,0.9,0.8,0.1,-0.198330806165,0,[]
-0.4,-0.9,0.9,0.1,-0.315196877164,1,"[7.80,8.16,8.25]"
-0.4,0.9,0.9,0.1,-0.210479220813,0,[]
0.4,-0.9,0.9,0.1,-0.25606077986,1,"[4.56,5.93,7.67,8.35,8.49,8.71,8.75,8.83]"
-0.4,0.9,0.0,0.1,-0.159732729765,1,[4.43]
-0.4,-0.9,1.1,0.1,-0.280721871222,1,"[4.59,5.72,7.67,8.32,8.55,8.60]"
-0.4,0.9,1.1,0.1,-0.200959603257,0,[]
0.4,-0.9,1.1,0.1,-0.231063491751,1,"[4.77,6.07,7.75,8.19,8.80,8.85,9.03]"
0.4,0.9,1.1,0.1,-0.181312847943,0,[]
-0.4,-0.9,1.2,0.1,-0.26571883239,1,"[4.57,5.85,7.68,8.30,8.51,8.74]"
-0.4,0.9,1.2,0.1,-0.19567356002,0,[]
0.4,-0.9,1.2,0.1,-0.220431745424,1,"[4.94,6.12,7.83,8.14,8.85,8.91,9.05,9.12]"
-0.4,-0.9,1.3,0.1,-0.252102492594,1,"[4.61,5.95,7.71,8.35,8.54,8.81,8.89]"
-0.4,0.9,1.3,0.1,-0.190310455296,0,[]
0.4,-0.9,1.3,0.1,-0.21084296354,1,"[5.10,6.16,8.88,8.94,9.05,9.17]"
0.4,0.9,1.3,0.1,-0.171086199976,0,[]
-0.4,-0.9,1.4,0.1,-0.239762574943,1,"[4.69,6.02,7.77,8.23,8.66,8.70,8.82,8.95]"
0.4,-0.9,1.4,0.1,-0.202169005655,1,"[5.23,6.20,8.96,8.99,9.05,9.28]"
0.4,0.9,1.4,0.1,-0.166376759643,0,[]
-0.4,-0.9,1.5,0.1,-0.228581301885,1,"[4.82,6.08,7.80,8.17,8.76,8.83,9.06]"
0.4,-0.9,1.5,0.1,-0.194298556656,1,"[5.34,6.23,9.03,9.36]"
0.4,0.9,1.5,0.1,-0.161935236883,0,[]
-0.4,-0.9,1.0,0.1,-0.297199876567,1,"[4.72,5.48,7.69,8.26,8.28,8.49]"
-0.4,0.9,1.0,0.1,-0.205982325557,0,[]
0.4,-0.9,1.0,0.1,-0.242884689643,1,"[4.63,6.01,7.70,8.29,8.66,8.68,8.82,8.97]"
0.4,0.9,1.0,0.1,-0.186804796579,0,[]
